BEEID,CNUM,CONDITION,CHOICE,TESTORDER
9,3,SMALL,0,SECOND
9,4,SMALL,0,SECOND
9,5,SMALL,1,SECOND
9,6,SMALL,1,SECOND
9,7,SMALL,0,SECOND
9,8,SMALL,1,SECOND
9,9,SMALL,0,SECOND
9,10,SMALL,1,SECOND
9,1,LARGE,0,SECOND
9,2,LARGE,1,SECOND
9,3,LARGE,0,SECOND
9,4,LARGE,1,SECOND
9,5,LARGE,0,SECOND
9,6,LARGE,0,SECOND
9,7,LARGE,1,SECOND
9,8,LARGE,1,SECOND
9,9,LARGE,0,SECOND
9,10,LARGE,0,SECOND
9,1,DIFFICULT,0,SECOND
9,2,DIFFICULT,1,SECOND
9,3,DIFFICULT,1,SECOND
9,4,DIFFICULT,0,SECOND
9,5,DIFFICULT,0,SECOND
9,6,DIFFICULT,1,SECOND
9,7,DIFFICULT,1,SECOND
9,8,DIFFICULT,0,SECOND
9,9,DIFFICULT,1,SECOND
9,10,DIFFICULT,0,SECOND
10,1,SMALL,0,SECOND
10,2,SMALL,0,SECOND
10,3,SMALL,1,SECOND
10,4,SMALL,0,SECOND
10,5,SMALL,0,SECOND
10,6,SMALL,0,SECOND
10,7,SMALL,0,SECOND
10,8,SMALL,0,SECOND
10,9,SMALL,0,SECOND
10,10,SMALL,1,SECOND
10,1,LARGE,1,SECOND
10,2,LARGE,1,SECOND
10,3,LARGE,1,SECOND
10,4,LARGE,0,SECOND
10,5,LARGE,0,SECOND
10,6,LARGE,0,SECOND
10,7,LARGE,0,SECOND
10,8,LARGE,1,SECOND
10,9,LARGE,1,SECOND
10,10,LARGE,0,SECOND
10,1,DIFFICULT,1,SECOND
10,2,DIFFICULT,1,SECOND
10,3,DIFFICULT,1,SECOND
10,4,DIFFICULT,1,SECOND
10,5,DIFFICULT,0,SECOND
10,6,DIFFICULT,0,SECOND
10,7,DIFFICULT,0,SECOND
10,8,DIFFICULT,0,SECOND
10,9,DIFFICULT,1,SECOND
10,10,DIFFICULT,0,SECOND
