CNUM,BEEID,CHOICE,CONDITION,ORDER
54,8,1,COMPOSITE,21
55,8,0,COMPOSITE,21
56,8,1,COMPOSITE,21
57,8,0,COMPOSITE,21
58,8,1,COMPOSITE,21
59,8,1,COMPOSITE,21
60,8,1,COMPOSITE,21
1,9,0,PRIME,12
2,9,0,PRIME,12
3,9,1,PRIME,12
4,9,1,PRIME,12
5,9,0,PRIME,12
6,9,0,PRIME,12
7,9,1,PRIME,12
8,9,1,PRIME,12
9,9,0,PRIME,12
10,9,1,PRIME,12
11,9,0,PRIME,12
12,9,0,PRIME,12
13,9,0,PRIME,12
14,9,1,PRIME,12
15,9,1,PRIME,12
16,9,0,PRIME,12
17,9,1,PRIME,12
18,9,0,PRIME,12
19,9,0,PRIME,12
20,9,1,PRIME,12
21,9,0,PRIME,12
22,9,0,PRIME,12
23,9,1,PRIME,12
24,9,1,PRIME,12
25,9,0,PRIME,12
26,9,1,PRIME,12
27,9,1,PRIME,12
28,9,1,PRIME,12
29,9,0,PRIME,12
30,9,1,PRIME,12
31,9,0,PRIME,12
32,9,1,PRIME,12
33,9,1,PRIME,12
34,9,0,PRIME,12
35,9,1,PRIME,12
36,9,1,PRIME,12
37,9,0,PRIME,12
38,9,1,PRIME,12
39,9,0,PRIME,12
40,9,1,PRIME,12
41,9,1,PRIME,12
42,9,1,PRIME,12
43,9,1,PRIME,12
44,9,1,PRIME,12
45,9,1,PRIME,12
46,9,1,PRIME,12
47,9,0,PRIME,12
48,9,0,PRIME,12
49,9,1,PRIME,12
50,9,1,PRIME,12
51,9,1,PRIME,12
52,9,1,PRIME,12
53,9,1,PRIME,12
54,9,1,PRIME,12
55,9,0,PRIME,12
56,9,0,PRIME,12
57,9,1,PRIME,12
58,9,1,PRIME,12
59,9,0,PRIME,12
60,9,1,PRIME,12
1,10,0,COMPOSITE,21
2,10,1,COMPOSITE,21
3,10,1,COMPOSITE,21
4,10,1,COMPOSITE,21
5,10,0,COMPOSITE,21
6,10,1,COMPOSITE,21
7,10,0,COMPOSITE,21
8,10,1,COMPOSITE,21
9,10,0,COMPOSITE,21
10,10,1,COMPOSITE,21
11,10,1,COMPOSITE,21
12,10,1,COMPOSITE,21
13,10,0,COMPOSITE,21
14,10,1,COMPOSITE,21
15,10,1,COMPOSITE,21
16,10,1,COMPOSITE,21
17,10,0,COMPOSITE,21
18,10,1,COMPOSITE,21
19,10,0,COMPOSITE,21
20,10,0,COMPOSITE,21
21,10,1,COMPOSITE,21
22,10,0,COMPOSITE,21
23,10,1,COMPOSITE,21
24,10,0,COMPOSITE,21
25,10,0,COMPOSITE,21
